Name,Private,PercentAccept,Enroll,Top10perc,Top25perc,FtimeRatio,Outstate,Room.Board,PhD,S.F.Ratio,Expend,Grad.Rate
Abilene Christian University,Yes,0.74,721,23,52,0.84,7440,3300,70,18.1,7041,60
Adelphi University,Yes,0.88,512,16,29,0.69,12280,6450,29,12.2,10527,56
Adrian College,Yes,0.77,336,22,50,0.91,11250,3750,53,12.9,8735,54
Agnes Scott College,Yes,0.84,137,60,89,0.89,12960,5450,92,7.7,19016,59
Alaska Pacific University,Yes,0.76,55,16,44,0.22,7560,4120,76,11.9,10922,15
Albertson College,Yes,0.82,158,38,62,0.94,13500,3335,67,9.4,9727,55
Albertus Magnus College,Yes,0.96,103,17,45,0.64,13290,5720,90,11.5,8861,63
Albion College,Yes,0.91,489,37,68,0.98,13868,4826,89,13.7,11487,73
Albright College,Yes,0.81,227,30,63,0.76,15595,4400,79,11.3,11644,80
Alderson-Broaddus College,Yes,0.86,172,21,44,0.91,10468,3380,40,11.5,8991,52
Alfred University,Yes,0.82,472,37,75,0.94,16548,5406,82,11.3,10932,73
Allegheny College,Yes,0.72,484,44,77,0.97,17080,4440,73,9.9,11711,76
Allentown Coll. of St. Francis de Sales,Yes,0.66,290,38,64,0.64,9690,4785,60,13.3,7940,74
Alma College,Yes,0.85,385,44,73,0.98,12572,4552,79,15.3,9305,68
Alverno College,Yes,0.63,157,23,46,0.52,8352,3640,36,11.1,8127,55
American International College,Yes,0.77,220,9,22,0.78,8700,4780,78,14.7,7355,69
Amherst College,Yes,0.23,418,83,96,1,19760,5300,93,8.4,21424,100
Anderson University,Yes,0.75,423,19,40,0.87,10100,3520,48,12.1,7994,59
Andrews University,Yes,0.62,322,14,23,0.83,9996,3090,62,11.5,10908,46
Angelo State University,No,0.57,1016,24,54,0.73,5130,3592,60,23.1,4010,34
Antioch University,Yes,0.93,252,25,44,0.97,15476,3336,69,11.3,42926,48
Appalachian State University,No,0.64,1910,20,63,0.91,6806,2540,83,18.3,5854,70
Aquinas College,Yes,0.83,219,20,51,0.62,11208,4124,55,12.7,6584,65
Arizona State University Main campus,No,0.8,3761,24,49,0.75,7434,4850,88,18.9,4602,48
Arkansas College (Lyon College),Yes,0.47,166,46,74,0.74,8644,3922,79,12.6,14579,54
Arkansas Tech University,No,1,951,12,52,0.79,3460,2650,57,19.6,4739,48
Assumption College,Yes,0.8,491,23,59,0.71,12000,5920,93,13.8,7100,88
